model,area,question_type,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
OSS 120b,HS-ESS1,conceptual,96,1.0,0.9615,1.0,0.9948,0.0,0.0
OSS 120b,HS-ESS1,recall,93,0.9785,0.9249,0.9941,,0.0,0.0304
OSS 120b,HS-ESS2,applied,96,0.9479,0.8838,0.9776,0.9635,0.0,0.039
OSS 120b,HS-ESS2,conceptual,99,0.9899,0.945,0.9982,0.9848,0.0,0.0143
OSS 120b,HS-ESS2,recall,93,0.9462,0.8803,0.9768,,0.0,0.0152
OSS 120b,HS-ESS3,applied,102,0.9314,0.8651,0.9664,0.951,0.0,0.0367
OSS 120b,HS-ESS3,conceptual,96,0.9896,0.9433,0.9982,0.9896,0.0,0.0147
OSS 120b,HS-ESS3,recall,96,1.0,0.9615,1.0,,0.0,0.0
OSS 120b,HS-ETS1,applied,102,0.9902,0.9465,0.9983,0.9902,0.0,0.0139
OSS 120b,HS-ETS1,conceptual,96,0.9688,0.9121,0.9893,0.9688,0.0,0.0
OSS 120b,HS-ETS1,recall,93,0.9892,0.9416,0.9981,,0.0,0.0152
